timestamp,flight,status,departure scheduled time,departure actual time,departure actual date,arrival scheduled time,arrival actual time,arrival actual date,raw
Sun Jul  2 16:00:01 UTC 2017,5061,Arrived Gate 5 Minutes Early,9:08 p.m.,9:02 p.m.,"Sat, Jul 1",11:34 p.m.,11:29 p.m.,"Sat, Jul 1","{'5061','STATUS','Arrived Gate 5 Minutes Early','DEPARTURE','Scheduled time:','9:08 p.m.','DEPARTURE','Actual time:','9:02 p.m.','DEPARTURE','Actual date:','Sat, Jul 1','ARRIVAL','Scheduled time:','11:34 p.m.','ARRIVAL','Actual time:','11:29 p.m.','ARRIVAL','Actual date:','Sat, Jul 1'}"
Sun Jul  2 16:00:01 UTC 2017,5141,Arrived Gate 4 Minutes Early,10:30 a.m.,10:28 a.m.,"Sat, Jul 1",12:56 p.m.,12:52 p.m.,"Sat, Jul 1","{'5141','STATUS','Arrived Gate 4 Minutes Early','DEPARTURE','Scheduled time:','10:30 a.m.','DEPARTURE','Actual time:','10:28 a.m.','DEPARTURE','Actual date:','Sat, Jul 1','ARRIVAL','Scheduled time:','12:56 p.m.','ARRIVAL','Actual time:','12:52 p.m.','ARRIVAL','Actual date:','Sat, Jul 1'}"
Sun Jul  2 16:00:01 UTC 2017,5001,Arrived Gate 7 Minutes Early,1:30 p.m.,,,2:04 p.m.,1:57 p.m.,"Sat, Jul 1","{'5001','STATUS','Arrived Gate 7 Minutes Early','DEPARTURE','Scheduled time:','1:30 p.m.','DEPARTURE','Scheduled date:','Sat, Jul 1','ARRIVAL','Scheduled time:','2:04 p.m.','ARRIVAL','Actual time:','1:57 p.m.','ARRIVAL','Actual date:','Sat, Jul 1'}"
Sun Jul  2 16:00:01 UTC 2017,5109,Arrived Gate 5 Minutes Early,6:00 a.m.,5:55 a.m.,"Sat, Jul 1",6:29 a.m.,6:24 a.m.,"Sat, Jul 1","{'5109','STATUS','Arrived Gate 5 Minutes Early','DEPARTURE','Scheduled time:','6:00 a.m.','DEPARTURE','Actual time:','5:55 a.m.','DEPARTURE','Actual date:','Sat, Jul 1','ARRIVAL','Scheduled time:','6:29 a.m.','ARRIVAL','Actual time:','6:24 a.m.','ARRIVAL','Actual date:','Sat, Jul 1'}"
Mon Jul  3 16:00:01 UTC 2017,5061,Arrived Gate 16 Minutes Early,9:08 p.m.,9:00 p.m.,"Sun, Jul 2",11:34 p.m.,11:18 p.m.,"Sun, Jul 2","{'5061','STATUS','Arrived Gate 16 Minutes Early','DEPARTURE','Scheduled time:','9:08 p.m.','DEPARTURE','Actual time:','9:00 p.m.','DEPARTURE','Actual date:','Sun, Jul 2','ARRIVAL','Scheduled time:','11:34 p.m.','ARRIVAL','Actual time:','11:18 p.m.','ARRIVAL','Actual date:','Sun, Jul 2'}"
Mon Jul  3 16:00:01 UTC 2017,5141,Arrived Gate 9 Minutes Early,10:30 a.m.,10:25 a.m.,"Sun, Jul 2",12:56 p.m.,12:47 p.m.,"Sun, Jul 2","{'5141','STATUS','Arrived Gate 9 Minutes Early','DEPARTURE','Scheduled time:','10:30 a.m.','DEPARTURE','Actual time:','10:25 a.m.','DEPARTURE','Actual date:','Sun, Jul 2','ARRIVAL','Scheduled time:','12:56 p.m.','ARRIVAL','Actual time:','12:47 p.m.','ARRIVAL','Actual date:','Sun, Jul 2'}"
Mon Jul  3 16:00:01 UTC 2017,5001,Arrived Gate 7 Minutes Early,1:30 p.m.,1:18 p.m.,"Sun, Jul 2",2:04 p.m.,1:57 p.m.,"Sun, Jul 2","{'5001','STATUS','Arrived Gate 7 Minutes Early','DEPARTURE','Scheduled time:','1:30 p.m.','DEPARTURE','Actual time:','1:18 p.m.','DEPARTURE','Actual date:','Sun, Jul 2','ARRIVAL','Scheduled time:','2:04 p.m.','ARRIVAL','Actual time:','1:57 p.m.','ARRIVAL','Actual date:','Sun, Jul 2'}"
Mon Jul  3 16:00:01 UTC 2017,5109,Arrived Gate 7 Minutes Early,6:00 a.m.,5:54 a.m.,"Sun, Jul 2",6:29 a.m.,6:22 a.m.,"Sun, Jul 2","{'5109','STATUS','Arrived Gate 7 Minutes Early','DEPARTURE','Scheduled time:','6:00 a.m.','DEPARTURE','Actual time:','5:54 a.m.','DEPARTURE','Actual date:','Sun, Jul 2','ARRIVAL','Scheduled time:','6:29 a.m.','ARRIVAL','Actual time:','6:22 a.m.','ARRIVAL','Actual date:','Sun, Jul 2'}"
Tue Jul  4 16:00:02 UTC 2017,5061,Arrived Gate 1 Minute Late,6:15 p.m.,6:10 p.m.,"Mon, Jul 3",8:41 p.m.,8:42 p.m.,"Mon, Jul 3","{'5061','STATUS','Arrived Gate 1 Minute Late','DEPARTURE','Scheduled time:','6:15 p.m.','DEPARTURE','Actual time:','6:10 p.m.','DEPARTURE','Actual date:','Mon, Jul 3','ARRIVAL','Scheduled time:','8:41 p.m.','ARRIVAL','Actual time:','8:42 p.m.','ARRIVAL','Actual date:','Mon, Jul 3'}"
Tue Jul  4 16:00:02 UTC 2017,5141,Arrived Gate 13 Minutes Early,10:30 a.m.,10:20 a.m.,"Mon, Jul 3",12:56 p.m.,12:43 p.m.,"Mon, Jul 3","{'5141','STATUS','Arrived Gate 13 Minutes Early','DEPARTURE','Scheduled time:','10:30 a.m.','DEPARTURE','Actual time:','10:20 a.m.','DEPARTURE','Actual date:','Mon, Jul 3','ARRIVAL','Scheduled time:','12:56 p.m.','ARRIVAL','Actual time:','12:43 p.m.','ARRIVAL','Actual date:','Mon, Jul 3'}"
Tue Jul  4 16:00:02 UTC 2017,5001,Arrived Gate 15 Minutes Early,1:30 p.m.,1:20 p.m.,"Mon, Jul 3",2:04 p.m.,1:49 p.m.,"Mon, Jul 3","{'5001','STATUS','Arrived Gate 15 Minutes Early','DEPARTURE','Scheduled time:','1:30 p.m.','DEPARTURE','Actual time:','1:20 p.m.','DEPARTURE','Actual date:','Mon, Jul 3','ARRIVAL','Scheduled time:','2:04 p.m.','ARRIVAL','Actual time:','1:49 p.m.','ARRIVAL','Actual date:','Mon, Jul 3'}"
